246.24,54.42748,284.0857143,62.795
220.8,34.378,249.2285714,104.2079
156.96,150.42196,249.2285714,116.89895
214.56,126.72712,257.9428571,20.17979
283.68,63.54088,282.3428571,102.47123
166.08,61.7182,270.1428571,124.51358
247.68,182.62264,101.0857143,116.63177
141.6,50.78212,311.9714286,127.85333
226.56,38.63092,257.9428571,40.48547
221.28,65.36356,176.0285714,125.31512
243.36,85.41304,427,59.05448
337.44,126.72712,55.77142857,36.87854
170.4,75.69208,134.2,40.48547
204.96,24.04948,203.9142857,40.48547
195.36,99.38692,184.7428571,128.78846
248.64,31.3402,292.8,40.48547
276,173.50924,413.0571429,27.52724
285.12,128.5498,247.4857143,124.51358
299.04,75.69208,427,23.78672
159.36,36.20068,479.2857143,59.05448
188.16,165.61096,130.7142857,127.71974
218.4,59.89552,386.9142857,114.76151
223.68,58.6804,310.2285714,29.3975
216.96,166.82608,430.4857143,125.84948
254.4,137.6632,386.9142857,105.41021
242.4,50.78212,134.2,123.97922
266.4,89.0584,221.3428571,127.85333
280.8,22.2268,271.8857143,126.25025
130.56,141.30856,322.4285714,123.71204
174.72,154.67488,444.4285714,55.31396
182.4,134.6254,388.6571429,122.10896
187.68,56.25016,172.5428571,23.78672
236.64,61.11064,198.6857143,121.17383
240,73.8694,291.0571429,119.43716
300.96,170.47144,48.8,127.71974
240,73.8694,322.4285714,123.71204
292.8,155.28244,69.71428571,122.10896
166.56,55.6426,233.5428571,126.25025
240,73.8694,183,127.05179
228.48,168.64876,275.3714286,125.31512
258.24,47.13676,266.6571429,127.85333
262.08,50.78212,268.4,127.85333
148.8,98.1718,242.2571429,127.05179
212.16,67.7938,108.0571429,111.02099
225.6,30.73264,52.28571429,57.18422
220.8,118.22128,242.2571429,125.31512
240,73.8694,306.7428571,127.85333
262.08,51.99724,219.6,120.2387
309.6,130.37248,244,127.05179
128.16,67.7938,181.2571429,105.94457
161.28,50.78212,216.1142857,20.17979
252.96,63.54088,237.0285714,105.94457
286.56,70.8316,256.2,125.31512
,,,
247.2,29.51752,264.9142857,102.47123
264.48,163.78828,362.5142857,122.10896
317.76,81.76768,444.4285714,111.02099
342.24,82.9828,242.2571429,123.71204
129.6,86.0206,324.1714286,127.85333
224.64,50.78212,465.3428571,127.71974
238.56,74.47696,165.5714286,128.78846
333.6,57.46528,254.4571429,127.85333
165.6,26.47972,247.4857143,123.71204
160.32,69.61648,254.4571429,126.25025
226.56,102.42472,275.3714286,125.31512
302.88,67.7938,155.1142857,126.25025
279.36,149.20684,83.65714286,99.93302
308.16,83.59036,230.0571429,101.66969
329.28,52.6048,270.1428571,121.97537
146.4,66.57868,261.4285714,127.05179
229.92,152.24464,418.2857143,123.97922
257.28,130.37248,69.71428571,46.09625
260.16,47.13676,224.8285714,40.48547
231.36,62.93332,177.7714286,106.74611
256.32,42.88384,270.1428571,125.31512
128.64,126.11956,128.9714286,123.97922
228.48,68.40136,113.2857143,111.02099
196.32,145.56148,74.94285714,88.71146
240,73.8694,183,113.5592
192.96,73.8694,338.1142857,101.66969
261.6,94.52644,383.4285714,27.52724
101.28,144.34636,73.2,122.10896
249.12,74.47696,99.34285714,88.71146
254.4,39.23848,257.9428571,91.51685
240,73.8694,313.7142857,96.59327
246.24,45.92164,432.2285714,111.02099
253.44,51.99724,449.6571429,77.62349
,,,
246.24,51.99724,289.3142857,121.97537
132.96,44.09896,176.0285714,127.85333
159.84,31.3402,81.91428571,40.48547
295.2,67.7938,362.5142857,98.06276
343.2,47.13676,357.2857143,99.93302
192.48,70.22404,282.3428571,127.85333
196.32,161.35804,259.6857143,36.87854
130.08,33.77044,69.71428571,75.75323
211.2,91.48864,10.45714286,125.84948
138.72,59.28796,212.6285714,127.85333
,,,
136.8,81.16012,170.8,124.51358
324,67.7938,228.3142857,103.67354
232.8,50.17456,404.3428571,120.37229
,,,
226.56,111.53812,266.6571429,120.37229
332.64,140.701,287.5714286,123.71204
159.84,80.55256,298.0285714,126.25025
331.2,48.35188,101.0857143,35.00828
278.88,113.96836,137.6857143,29.3975
208.32,56.25016,277.1142857,42.35573
,,,
258.72,17.36632,289.3142857,53.57729
202.08,166.82608,322.4285714,51.70703
240,73.8694,306.7428571,123.97922
259.2,58.6804,214.3714286,116.09741
,,,
72.96,80.552,301.51,101.8
204,83.59,172.54,81.36
266.4,36.808,266.657,121.94
232.8,49.56,121.9999,125.84
192.48,81.16,172.54,127.85
248.64,121.259,322.42,105.94
255.84,46.529,221.342,128.788
259.2,87.8432,242.2571,128.788
